Process INIT
Execution for processFile[PERSONS to go...] 
CB [Manuel B. Gonnet]:[Manuel B. Gonnet - 9 de Julio - Buenos Aires] [Manuel B. Gonnet, Manuel B. Gonnet, Buenos Aires]
CB [Patricios]:[Patricios - 9 de Julio - Buenos Aires] [Patricios, Patricios, Buenos Aires]
CB [Colonia San Miguel]:[Colonia San Miguel - Olavarría - Buenos Aires] [Colonia San Miguel, Colonia San Miguel, Buenos Aires]
CB [Santa Luisa]:[Santa Luisa - Olavarría - Buenos Aires] [Santa Luisa, Santa Luisa, Buenos Aires]
CB [Bahia San Blas]:[Bahia San Blas - Patagones - Buenos Aires] [Bahia San Blas, Bahia San Blas, Buenos Aires]
CB [Stroeder]:[Stroeder - Patagones - Buenos Aires] [Stroeder, Stroeder, Buenos Aires]
CB [Juan Jose Paso]:[Juan Jose Paso - Pehuajó - Buenos Aires] [Juan Jose Paso, Juan Jose Paso, Buenos Aires]
CB [San Bernardo]:[San Bernardo - Pehuajó - Buenos Aires] [San Bernardo, San Bernardo, Buenos Aires]
CB [Fontezuela]:[Fontezuela - Pergamino - Buenos Aires] [Fontezuela, Fontezuela, Buenos Aires]
CB [Manuel Ocampo]:[Manuel Ocampo - Pergamino - Buenos Aires] [Manuel Ocampo, Manuel Ocampo, Buenos Aires]
CB [Rancagua]:[Rancagua - Pergamino - Buenos Aires] [Rancagua, Rancagua, Buenos Aires]
CB [Barrio Parque Almirante Irizar]:[Barrio Parque Almirante Irizar - Pilar - Buenos Aires] [Barrio Parque Almirante Irizar, Barrio Parque Almirante Irizar, Buenos Aires]
CB [Presidente Peron]:[Presidente Peron - Presidente Perón - Buenos Aires] [Gran Buenos Aires, Presidente Peron, Buenos Aires]
CB [Estela]:[Estela - Puan - Buenos Aires] [Estela, Estela, Buenos Aires]
CB [Villa Castelar]:[Villa Castelar - Puan - Buenos Aires] [Villa Castelar, Villa Castelar, Buenos Aires]
CB [Punta Indio]:[Punta Indio - Punta Indio - Buenos Aires] [Punta Indio, Punta Indio, Buenos Aires]
CB [Perez Millan]:[Perez Millan - Ramallo - Buenos Aires] [Perez Millan, Perez Millan, Buenos Aires]
CB [America]:[America - Rivadavia - Buenos Aires] [America, America, Buenos Aires]
CB [San Mauricio]:[San Mauricio - Rivadavia - Buenos Aires] [San Mauricio, San Mauricio, Buenos Aires]
CB [Los Indios]:[Los Indios - Rojas - Buenos Aires] [Los Indios, Los Indios, Buenos Aires]
CB [Villa Parque Cecir]:[Villa Parque Cecir - Rojas - Buenos Aires] [Villa Parque Cecir, Villa Parque Cecir, Buenos Aires]
CB [Dufaur]:[Dufaur - Saavedra - Buenos Aires] [Dufaur, Dufaur, Buenos Aires]
CB [Alvarez de Toledo]:[Alvarez de Toledo - Saladillo - Buenos Aires] [Alvarez de Toledo, Alvarez de Toledo, Buenos Aires]
CB [Saladillo]:[Saladillo - Saladillo - Buenos Aires] [Saladillo, Saladillo, Buenos Aires]
CB [La Invencible]:[La Invencible - Salto - Buenos Aires] [La Invencible, La Invencible, Buenos Aires]
CB [Culullu]:[Culullu - San Andrés de Giles - Buenos Aires] [Culullu, Culullu, Buenos Aires]
CB [Villa Ruiz]:[Villa Ruiz - San Andrés de Giles - Buenos Aires] [Villa Ruiz, Villa Ruiz, Buenos Aires]
CB [Ochandio]:[Ochandio - San Cayetano - Buenos Aires] [Ochandio, Ochandio, Buenos Aires]
CB [Conesa]:[Conesa - San Nicolás - Buenos Aires] [Conesa, Conesa, Buenos Aires]
CB [Villa Esperanza]:[Villa Esperanza - San Nicolás - Buenos Aires] [Villa Esperanza, Villa Esperanza, Buenos Aires]
CB [San Pedro]:[San Pedro - San Pedro - Buenos Aires] [San Pedro, San Pedro, Buenos Aires]
CB [Suipacha]:[Suipacha - Suipacha - Buenos Aires] [Suipacha, Suipacha, Buenos Aires]
CB [Tandil]:[Tandil - Tandil - Buenos Aires] [Tandil, Tandil, Buenos Aires]
CB [General Conesa]:[General Conesa - Tordillo - Buenos Aires] [General Conesa, General Conesa, Buenos Aires]
CB [Tornquist]:[Tornquist - Tornquist - Buenos Aires] [Tornquist, Tornquist, Buenos Aires]
CB [Girodias]:[Girodias - Trenque Lauquen - Buenos Aires] [Girodias, Girodias, Buenos Aires]
CB [Claromeco]:[Claromeco - Tres Arroyos - Buenos Aires] [Claromeco, Claromeco, Buenos Aires]
CB [Reta]:[Reta - Tres Arroyos - Buenos Aires] [Reta, Reta, Buenos Aires]
CB [Ingeniero Thompson]:[Ingeniero Thompson - Tres Lomas - Buenos Aires] [Ingeniero Thompson, Ingeniero Thompson, Buenos Aires]
CB [Gobernador Ugarte]:[Gobernador Ugarte - 28 de Mayo - Buenos Aires] [Gobernador Ugarte, Gobernador Ugarte, Buenos Aires]
